video_id,subject,action,start,end,confidence,camera
0008-R,8,42,2877,2980,2,3
0008-R,8,43,3030,3150,2,3
0009-M,9,38,192,214,2,2
0009-M,9,23,297,440,2,2
0009-M,9,29,500,539,2,2
0009-M,9,48,666,968,2,2
0009-M,9,33,997,1029,2,2
0009-M,9,34,1120,1145,2,2
0009-M,9,37,1231,1395,2,2
0009-M,9,36,1457,1563,2,2
0009-M,9,49,1577,1670,2,2
0009-M,9,51,1766,1897,2,2
0009-M,9,30,2000,2172,2,2
0009-M,9,46,2285,2342,2,2
0009-M,9,19,2578,2643,2,2
0009-M,9,25,2710,2775,2,2
0009-M,9,1,2812,2857,2,2
0009-M,9,8,2959,3122,2,2
0009-M,9,3,3247,3465,2,2
0009-M,9,2,3552,3777,2,2
0009-M,9,10,3864,4045,2,2
0009-M,9,47,4189,4351,2,2
0009-M,9,38,4431,4460,2,2
0009-M,9,39,4551,4754,2,2
0009-M,9,29,4875,4910,2,2
0009-R,9,38,192,223,2,3
0009-R,9,23,306,454,2,3
0009-R,9,29,507,549,2,3
0009-R,9,48,666,995,2,3
0009-R,9,33,1020,1056,2,3
0009-R,9,34,1143,1164,2,3
0009-R,9,37,1263,1424,2,3
0009-R,9,36,1487,1593,2,3
0009-R,9,49,1606,1700,2,3
0009-R,9,51,1805,1939,2,3
0009-R,9,30,2050,2215,2,3
0009-R,9,46,2338,2394,2,3
0009-R,9,19,2643,2707,2,3
0009-R,9,25,2775,2853,2,3
0009-R,9,1,2882,2925,2,3
0009-R,9,8,3030,3194,2,3
0009-R,9,3,3322,3549,2,3
0009-R,9,2,3637,3867,2,3
0009-R,9,10,3959,4145,2,3
0009-R,9,47,4283,4450,2,3
0009-R,9,38,4532,4565,2,3
0009-R,9,39,4657,4864,2,3
0009-R,9,29,4981,5022,2,3
0010-M,10,50,116,215,2,2
0010-M,10,6,258,356,2,2
0010-M,10,32,400,471,2,2
0010-M,10,4,586,652,2,2
0010-M,10,40,788,867,2,2
0010-M,10,9,1175,1211,2,2
0010-M,10,41,1317,1394,2,2
0010-M,10,42,1460,1580,2,2
0010-M,10,31,1607,1687,2,2
0010-M,10,15,1692,1812,2,2
0010-M,10,13,1879,1991,2,2
0010-M,10,45,2003,2138,2,2
0010-M,10,43,2206,2340,2,2
0010-M,10,11,2478,2527,2,2
0010-M,10,7,2702,2784,2,2
0010-M,10,38,2882,2912,2,2
0010-M,10,20,3014,3247,2,2
0010-M,10,29,3388,3429,2,2
0010-M,10,22,3522,3598,2,2
0010-M,10,44,3705,3817,1,2
0010-M,10,17,3849,3902,2,2
0010-M,10,5,3961,4094,2,2
0010-R,10,50,116,235,2,3
0010-R,10,6,269,372,2,3
0010-R,10,32,413,485,2,3
0010-R,10,4,598,676,2,3
0010-R,10,40,799,873,2,3
0010-R,10,9,1201,1227,2,3
0010-R,10,41,1349,1406,2,3
0010-R,10,42,1491,1608,2,3
0010-R,10,31,1635,1717,2,3
0010-R,10,15,1742,1842,2,3
0010-R,10,13,1879,2031,2,3
0010-R,10,45,2034,2155,2,3
0010-R,10,43,2236,2377,2,3
0010-R,10,11,2516,2557,2,3
0010-R,10,7,2743,2818,2,3
0010-R,10,38,2905,2955,2,3
0010-R,10,20,3036,3303,2,3
0010-R,10,29,3432,3477,2,3
0010-R,10,22,3575,3656,2,3
0010-R,10,44,3754,3880,1,3
0010-R,10,17,3902,3984,2,3
0010-R,10,5,4015,4157,2,3
0011-M,11,38,84,114,2,2
0011-M,11,23,241,430,2,2
0011-M,11,29,451,480,2,2
0011-M,11,48,623,938,2,2
0011-M,11,37,1010,1223,2,2
0011-M,11,33,1350,1390,2,2
0011-M,11,36,1488,1575,1,2
0011-M,11,49,1626,1711,1,2
0011-M,11,34,1810,1832,2,2
0011-M,11,51,2041,2125,2,2
0011-M,11,30,2188,2457,2,2
0011-M,11,46,2555,2631,2,2
0011-M,11,18,2742,2889,0,2
0011-M,11,35,2915,2996,0,2
0011-M,11,19,3105,3155,2,2
0011-M,11,25,3253,3329,1,2
0011-M,11,1,3443,3504,2,2
0011-M,11,8,3636,3776,2,2
0011-M,11,3,3850,4000,2,2
0011-M,11,2,4097,4238,2,2
0011-M,11,10,4299,4524,2,2
0011-M,11,47,4673,4819,2,2
0011-M,11,38,4926,4956,2,2
0011-M,11,39,5036,5112,2,2
0011-R,11,38,84,114,2,3
0011-R,11,23,230,442,2,3
0011-R,11,29,460,493,2,3
0011-R,11,48,636,971,2,3
0011-R,11,37,1036,1303,2,3
0011-R,11,33,1392,1421,2,3
0011-R,11,36,1526,1609,1,3
0011-R,11,49,1662,1751,1,3
0011-R,11,34,1843,1861,2,3
0011-R,11,51,2032,2142,2,3
0011-R,11,30,2235,2455,2,3
0011-R,11,46,2592,2663,2,3
0011-R,11,18,2775,2931,0,3
0011-R,11,35,2952,3035,0,3
0011-R,11,19,3105,3185,2,3
0011-R,11,25,3303,3389,1,3
0011-R,11,1,3483,3535,2,3
0011-R,11,8,3683,3817,2,3
0011-R,11,3,3895,4044,2,3
0011-R,11,2,4137,4279,2,3
0011-R,11,10,4342,4562,2,3
0011-R,11,47,4708,4857,2,3
0011-R,11,38,4966,4997,2,3
0011-R,11,39,5072,5162,2,3
0012-M,12,50,82,195,2,2
0012-M,12,6,234,332,2,2
0012-M,12,32,421,504,2,2
0012-M,12,4,562,640,2,2
0012-M,12,40,823,946,2,2
0012-M,12,9,1148,1204,2,2
0012-M,12,41,1310,1394,2,2
0012-M,12,45,1477,1614,2,2
0012-M,12,15,1844,1977,2,2
0012-M,12,13,2000,2117,2,2
0012-M,12,45,2159,2289,2,2
0012-M,12,43,2366,2493,2,2
0012-M,12,11,2569,2628,2,2
0012-M,12,7,2837,2908,2,2
0012-M,12,38,3063,3089,2,2
0012-M,12,20,3253,3435,2,2
0012-M,12,29,3479,3528,2,2
0012-M,12,22,3575,3906,1,2
0012-M,12,44,4019,4251,0,2
0012-M,12,17,4273,4346,2,2
0012-M,12,5,4416,4473,2,2
0012-R,12,50,82,219,2,3
0012-R,12,6,253,352,2,3
0012-R,12,32,445,531,2,3
0012-R,12,4,580,680,2,3
0012-R,12,40,880,998,2,3
0012-R,12,9,1191,1239,2,3
0012-R,12,41,1358,1426,2,3
0012-R,12,45,1532,1664,2,3
0012-R,12,15,1904,2038,2,3
0012-R,12,13,2073,2199,2,3
0012-R,12,45,2232,2375,2,3
0012-R,12,43,2442,2581,2,3
0012-R,12,11,2655,2706,2,3
0012-R,12,7,2929,2993,2,3
0012-R,12,38,3130,3195,1,3
0012-R,12,20,3253,3520,2,3
0012-R,12,29,3570,3599,2,3
0012-R,12,22,3639,3982,1,3
0012-R,12,44,4096,4322,0,3
0012-R,12,17,4323,4426,2,3
0012-R,12,5,4487,4538,2,3
0013-M,13,50,65,184,2,2
0013-M,13,3,244,395,2,2
0013-M,13,2,508,631,2,2
0013-M,13,48,691,926,2,2
0013-M,13,47,1036,1206,2,2
0013-M,13,37,1262,1426,2,2
0013-M,13,25,1552,1707,2,2
0013-M,13,33,1792,1826,2,2
0013-M,13,34,1967,1991,2,2
0013-M,13,6,2128,2261,1,2
0013-M,13,7,2335,2433,2,2
0013-M,13,13,2462,2586,2,2
0013-M,13,17,2719,2791,2,2
0013-M,13,36,2869,2960,2,2
0013-M,13,49,2983,3061,2,2
0013-M,13,30,3189,3291,2,2
0013-M,13,51,3393,3542,2,2
0013-M,13,46,3654,3727,2,2
0013-M,13,40,3872,4261,1,2
0013-M,13,28,4266,4380,0,2
0013-M,13,35,4429,4522,0,2
0013-M,13,1,4647,4695,2,2
0013-M,13,5,4782,4851,2,2
0013-R,13,50,65,208,2,3
0013-R,13,3,282,443,2,3
0013-R,13,2,517,667,2,3
0013-R,13,48,760,1024,2,3
0013-R,13,47,1099,1265,2,3
0013-R,13,37,1325,1495,2,3
0013-R,13,25,1602,1787,2,3
0013-R,13,33,1863,1891,2,3
0013-R,13,34,2047,2066,2,3
0013-R,13,6,2204,2351,1,3
0013-R,13,7,2426,2520,2,3
0013-R,13,13,2562,2686,2,3
0013-R,13,17,2789,2891,2,3
0013-R,13,36,2973,3054,2,3
0013-R,13,49,3084,3165,2,3
0013-R,13,30,3299,3393,2,3
0013-R,13,51,3498,3640,2,3
0013-R,13,46,3751,3824,2,3
0013-R,13,40,3963,4326,1,3
0013-R,13,28,4340,4472,0,3
0013-R,13,35,4511,4607,0,3
0013-R,13,1,4733,4792,2,3
0013-R,13,5,4870,4952,2,3
0014-M,14,32,112,207,2,2
0014-M,14,4,243,310,2,2
0014-M,14,31,363,480,2,2
0014-M,14,38,534,555,2,2
0014-M,14,23,663,824,2,2
0014-M,14,29,846,878,2,2
0014-M,14,38,880,903,2,2
0014-M,14,39,917,1010,2,2
0014-M,14,20,1107,1220,2,2
0014-M,14,29,1278,1297,2,2
0014-M,14,7,1530,1635,2,2
0014-M,14,22,1700,1804,2,2
0014-M,14,19,1890,1965,2,2
0014-M,14,41,2016,2084,2,2
0014-M,14,8,2188,2319,2,2
0014-M,14,10,2354,2584,2,2
0014-M,14,44,2624,2759,0,2
0014-M,14,11,2807,2857,2,2
0014-M,14,15,3014,3149,2,2
0014-M,14,45,3179,3326,2,2
0014-M,14,42,3326,3480,1,2
0014-M,14,43,3480,3637,2,2
0014-R,14,32,112,212,2,3
0014-R,14,4,252,325,2,3
0014-R,14,31,375,495,2,3
0014-R,14,38,534,563,2,3
0014-R,14,23,691,854,2,3
0014-R,14,29,866,885,2,3
0014-R,14,38,904,933,2,3
0014-R,14,39,950,1059,2,3
0014-R,14,20,1144,1274,2,3
0014-R,14,29,1305,1350,2,3
0014-R,14,7,1623,1679,2,3
0014-R,14,22,1770,1884,2,3
0014-R,14,19,1947,2040,2,3
0014-R,14,41,2086,2160,2,3
0014-R,14,8,2265,2401,2,3
0014-R,14,10,2437,2671,2,3
0014-R,14,44,2713,2853,0,3
0014-R,14,11,2899,2950,2,3
0014-R,14,15,3105,3257,2,3
0014-R,14,45,3281,3446,2,3
0014-R,14,42,3446,3590,1,3
0014-R,14,43,3592,3754,2,3
0015-M,15,24,108,185,2,2
0015-M,15,12,369,486,2,2
0015-M,15,21,586,668,2,2
0015-M,15,27,791,838,2,2
0015-M,15,26,1017,1077,1,2
0015-M,15,18,1279,1308,2,2
0015-M,15,14,1398,1494,2,2
0015-M,15,16,1519,1624,2,2
0015-R,15,24,107,185,2,3
0015-R,15,12,370,481,2,3
0015-R,15,21,582,663,2,3
0015-R,15,27,788,835,2,3
0015-R,15,26,1022,1082,2,3
0015-R,15,18,1284,1319,2,3
0015-R,15,14,1410,1508,2,3
0015-R,15,16,1533,1647,2,3
0016-M,16,26,109,154,1,2
0016-M,16,18,249,279,2,2
0016-M,16,27,408,456,0,2
0016-M,16,21,589,656,2,2
0016-M,16,24,712,767,2,2
0016-M,16,16,836,948,2,2
0016-M,16,12,1079,1180,2,2
0016-M,16,14,1224,1299,2,2
0016-R,16,26,117,158,1,3
0016-R,16,18,260,289,2,3
0016-R,16,27,421,468,0,3
0016-R,16,21,606,678,2,3
0016-R,16,24,732,788,2,3
0016-R,16,16,858,979,2,3
0016-R,16,12,1110,1203,2,3
0016-R,16,14,1242,1336,2,3
0017-M,17,38,127,156,2,2
0017-M,17,23,242,389,2,2
0017-M,17,29,457,500,2,2
0017-M,17,48,632,875,2,2
0017-M,17,37,955,1110,2,2
0017-M,17,33,1267,1304,2,2
0017-M,17,36,1427,1487,2,2
0017-M,17,49,1574,1665,2,2
0017-M,17,34,1766,1802,2,2
0017-M,17,51,1982,2145,2,2
0017-M,17,30,2333,2559,2,2
0017-M,17,46,2696,2831,2,2
0017-M,17,28,2987,3084,1,2
0017-M,17,35,3141,3252,2,2
0017-M,17,19,3315,3408,2,2
0017-M,17,25,3483,3579,2,2
0017-M,17,1,3647,3734,2,2
0017-M,17,8,3864,3987,2,2
0017-M,17,3,4132,4292,2,2
0017-M,17,2,4405,4492,2,2
0017-M,17,10,4706,4911,2,2
0017-M,17,47,5017,5159,2,2
0017-M,17,38,5247,5285,2,2
0017-M,17,39,5351,5431,2,2
0017-M,17,29,5524,5553,2,2
0017-R,17,38,127,156,2,3
0017-R,17,23,256,409,2,3
0017-R,17,29,475,512,2,3
0017-R,17,48,647,904,2,3
0017-R,17,37,977,1133,2,3
0017-R,17,33,1296,1325,2,3
0017-R,17,36,1455,1505,2,3
0017-R,17,49,1603,1691,2,3
0017-R,17,34,1792,1810,2,3
0017-R,17,51,2009,2170,2,3
0017-R,17,30,2362,2588,2,3
0017-R,17,46,2730,2859,2,3
0017-R,17,28,3014,3106,1,3
0017-R,17,35,3166,3274,2,3
0017-R,17,19,3368,3428,2,3
0017-R,17,25,3503,3619,2,3
0017-R,17,1,3723,3744,2,3
0017-R,17,8,3888,4011,2,3
0017-R,17,3,4161,4317,2,3
0017-R,17,2,4431,4618,2,3
0017-R,17,10,4735,4932,2,3
0017-R,17,47,5037,5188,2,3
0017-R,17,38,5265,5303,2,3
0017-R,17,39,5368,5461,2,3
0017-R,17,29,5555,5581,2,3
0018-M,18,50,70,162,2,2
0018-M,18,6,214,296,2,2
0018-M,18,32,367,441,2,2
0018-M,18,4,515,577,2,2
0018-M,18,40,769,850,2,2
0018-M,18,9,860,916,2,2
0018-M,18,41,1176,1245,2,2
0018-M,18,42,1333,1485,1,2
0018-M,18,31,1490,1653,1,2
0018-M,18,15,1654,1765,2,2
0018-M,18,13,1815,1888,2,2
0018-M,18,45,1975,2116,0,2
0018-M,18,43,2159,2322,2,2
0018-M,18,11,2389,2435,2,2
0018-M,18,7,2564,2665,2,2
0018-M,18,38,2749,2791,2,2
0018-M,18,20,2873,3039,2,2
0018-M,18,29,3096,3147,2,2
0018-M,18,22,3290,3363,2,2
0018-M,18,44,3459,3609,1,2
0018-M,18,17,3614,3687,2,2
0018-M,18,5,3789,3848,2,2
0018-R,18,50,70,162,2,3
0018-R,18,6,217,297,2,3
0018-R,18,32,374,439,2,3
0018-R,18,4,515,575,2,3
0018-R,18,40,755,850,2,3
0018-R,18,9,856,895,2,3
0018-R,18,41,1168,1227,2,3
0018-R,18,42,1326,1473,1,3
0018-R,18,31,1478,1633,1,3
0018-R,18,15,1634,1768,2,3
0018-R,18,13,1810,1898,2,3
0018-R,18,45,1974,2125,0,3
0018-R,18,43,2159,2319,2,3
0018-R,18,11,2390,2430,2,3
0018-R,18,7,2571,2676,2,3
0018-R,18,38,2755,2797,2,3
0018-R,18,20,2886,3053,2,3
0018-R,18,29,3127,3159,2,3
0018-R,18,22,3221,3299,2,3
0018-R,18,44,3467,3609,1,3
0018-R,18,17,3614,3697,2,3
0018-R,18,5,3787,3850,2,3
0019-M,19,50,102,240,2,2
0019-M,19,3,352,559,2,2
0019-M,19,2,770,967,2,2
0019-M,19,48,1083,1301,2,2
0019-M,19,47,1503,1682,2,2
0019-M,19,37,1784,1872,2,2
0019-M,19,25,2017,2116,2,2
0019-M,19,33,2220,2250,2,2
0019-M,19,34,2423,2440,2,2
0019-M,19,6,2579,2695,2,2
0019-M,19,7,2779,2898,2,2
0019-M,19,13,2937,3033,2,2
0019-M,19,17,3098,3188,2,2
0019-M,19,36,3308,3354,2,2
0019-M,19,49,3479,3550,2,2
0019-M,19,30,3715,3886,2,2
0019-M,19,51,4054,4161,2,2
0019-M,19,46,4348,4458,2,2
0019-M,19,40,4639,4727,2,2
0019-M,19,28,4843,4947,0,2
0019-M,19,35,4972,5064,2,2
0019-M,19,1,5115,5158,2,2
0019-M,19,5,5229,5300,2,2
0019-R,19,50,102,240,2,3
0019-R,19,3,368,570,2,3
0019-R,19,2,779,975,2,3
0019-R,19,48,1078,1304,2,3
0019-R,19,47,1504,1677,2,3
0019-R,19,37,1740,1862,2,3
0019-R,19,25,2007,2116,2,3
0019-R,19,33,2210,2241,2,3
0019-R,19,34,2412,2429,2,3
0019-R,19,6,2558,2671,2,3
0019-R,19,7,2756,2868,2,3
0019-R,19,13,2917,3013,2,3
0019-R,19,17,3068,3148,2,3
0019-R,19,36,3273,3322,2,3
0019-R,19,49,3434,3508,2,3
0019-R,19,30,3670,3840,2,3
0019-R,19,51,4003,4107,2,3
0019-R,19,46,4284,4388,2,3
0019-R,19,40,4560,4653,2,3
0019-R,19,28,4766,4864,0,3
0019-R,19,35,4890,4980,2,3
0019-R,19,1,5023,5077,2,3
0019-R,19,5,5140,5207,2,3
0020-M,20,32,77,171,2,2
0020-M,20,4,256,315,2,2
0020-M,20,31,385,505,2,2
0020-M,20,38,573,612,2,2
0020-M,20,23,735,890,2,2
0020-M,20,39,992,1061,2,2
0020-M,20,20,1211,1398,2,2
0020-M,20,29,1476,1509,2,2
0020-M,20,9,1690,1729,2,2
0020-M,20,22,1850,1916,2,2
0020-M,20,19,2049,2115,2,2
0020-M,20,41,2182,2258,2,2
0020-M,20,8,2395,2550,2,2
0020-M,20,10,2660,2802,2,2
0020-M,20,44,2878,3000,2,2
0020-M,20,11,3007,3063,2,2
0020-M,20,15,3171,3263,2,2
0020-M,20,45,3322,3430,0,2
0020-M,20,42,3453,3585,0,2
0020-M,20,43,3624,3778,2,2
0020-R,20,32,89,186,2,3
0020-R,20,4,273,340,2,3
0020-R,20,31,412,535,2,3
0020-R,20,38,593,647,2,3
0020-R,20,23,774,923,2,3
0020-R,20,39,1023,1101,2,3
0020-R,20,20,1253,1451,2,3
0020-R,20,29,1528,1565,2,3
0020-R,20,9,1744,1783,2,3
0020-R,20,22,1918,1994,2,3
0020-R,20,19,2101,2173,2,3
0020-R,20,41,2253,2334,2,3
0020-R,20,8,2473,2622,2,3
0020-R,20,10,2743,2888,2,3
0020-R,20,44,2967,3086,2,3
0020-R,20,11,3092,3137,2,3
0020-R,20,15,3270,3363,2,3
0020-R,20,45,3413,3523,0,3
0020-R,20,42,3549,3679,0,3
0020-R,20,43,3733,3890,2,3
0021-M,21,38,111,124,2,2
0021-M,21,23,206,352,2,2
0021-M,21,29,418,461,2,2
0021-M,21,48,535,812,2,2
0021-M,21,37,885,1040,2,2
0021-M,21,33,1106,1145,2,2
0021-M,21,36,1218,1290,1,2
0021-M,21,49,1366,1457,1,2
0021-M,21,34,1517,1533,2,2
0021-M,21,51,1676,1846,2,2
0021-M,21,30,2011,2272,2,2
0021-M,21,46,2375,2461,2,2
0021-M,21,28,2626,2720,2,2
0021-M,21,35,2783,2861,2,2
0021-M,21,25,2928,3008,2,2
0021-M,21,19,3100,3200,2,2
0021-M,21,1,3306,3354,2,2
0021-M,21,8,3453,3563,2,2
0021-M,21,3,3728,3877,2,2
0021-M,21,2,4055,4183,2,2
0021-M,21,10,4257,4412,2,2
0021-M,21,47,4515,4668,2,2
0021-M,21,38,4741,4763,2,2
0021-M,21,39,4834,4927,2,2
0021-M,21,29,4984,5015,2,2
0021-R,21,38,102,124,2,3
0021-R,21,23,212,364,2,3
0021-R,21,29,442,472,2,3
0021-R,21,48,547,834,2,3
0021-R,21,37,903,1064,2,3
0021-R,21,33,1128,1167,2,3
0021-R,21,36,1246,1317,1,3
0021-R,21,49,1389,1481,1,3
0021-R,21,34,1542,1570,2,3
0021-R,21,51,1703,1878,2,3
0021-R,21,30,2050,2292,2,3
0021-R,21,46,2402,2487,2,3
0021-R,21,28,2638,2745,2,3
0021-R,21,35,2812,2867,2,3
0021-R,21,25,2964,3047,2,3
0021-R,21,19,3100,3240,2,3
0021-R,21,1,3333,3385,2,3
0021-R,21,8,3489,3596,2,3
0021-R,21,3,3722,3908,2,3
0021-R,21,2,4028,4180,2,3
0021-R,21,10,4281,4437,2,3
0021-R,21,47,4542,4692,2,3
0021-R,21,38,4767,4788,2,3
0021-R,21,39,4860,4962,2,3
0021-R,21,29,5013,5042,2,3
0022-M,22,50,84,177,2,2
0022-M,22,6,225,347,2,2
